Fruta,Cantidad_kefir,Azucar_%,Acidez_pH,Fibra_g,Tecnica_recomendada
Lulo,7.49,15.12,4.84,3.06,Decantación natural
Uva,8.28,7.79,4.71,1.88,Vapor indirecto
Guayaba,4.87,7.35,3.03,2.34,Centrifugación
Caqui,8.61,18.2,3.51,1.18,Centrifugación
Camu camu,8.56,12.39,3.01,2.12,Prensado hidráulico
Melón,4.27,7.3,4.01,3.79,Congelación-descongelación
Durazno,1.0,6.12,3.09,3.13,Prensado hidráulico
Aguacate,6.41,6.76,4.79,1.01,Reposo fermentativo previo
Pera,5.93,12.57,3.54,3.47,Difusión osmótica
Durazno,8.23,18.21,4.8,2.23,Congelación-descongelación
Mandarina,9.86,8.17,3.76,0.91,Maceración lenta
Fresa,8.57,18.63,4.44,3.73,Liofilización parcial
Aguacate,0.65,8.08,3.04,3.85,Prensado en frío
Carambola,4.32,17.17,4.01,2.8,Filtrado con gas CO₂
Arazá,7.46,17.75,4.78,1.99,Filtrado con gas CO₂
Fresa,1.61,10.4,3.62,3.54,Fermentación previa
Naranja,2.01,6.78,4.46,0.62,Decocción corta
Pera,1.31,10.31,4.11,2.44,Licuado con agua
Naranja,6.92,13.15,4.63,2.35,Fermentación espontánea
Plátano,0.88,11.38,4.38,2.14,Fermentación previa
Durazno,1.9,10.86,3.21,3.25,Centrifugación
Banano,5.09,8.36,4.26,3.76,Microondas controlado
Plátano,5.47,16.51,3.07,0.58,Maceración lenta
Higo,6.96,8.39,4.24,3.97,Difusión térmica
Guayaba,8.1,14.51,3.35,2.0,Maceración rápida
Mango,8.33,14.11,4.53,3.08,Difusión lenta
Borojó,4.89,14.08,3.34,3.33,Maceración rápida
Sandía,9.24,6.9,4.21,2.09,Fermentación espontánea
Pomelo,8.02,14.53,4.42,0.89,Maceración alcohólica leve
Coco,5.39,18.5,4.96,1.29,Microfiltración
Tamarindo,9.75,11.58,4.59,3.87,Reposo fermentativo previo
Granadilla,9.98,9.08,3.9,2.74,Vapor indirecto
Mora,8.23,18.42,3.69,3.25,Prensado mecánico
Pomelo,9.0,8.8,4.37,0.88,Maceración alcohólica leve
Ciruela,9.54,8.07,4.39,3.67,Agitación constante
Frambuesa,1.16,7.7,4.6,3.19,Reposo fermentativo previo
Mandarina,5.46,16.8,3.58,3.18,Fermentación previa
